org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,Attorney_Fee_Awards_LSC,Basic_Field_LSC,Carryover_Funds_LSC,Interest_Investment__Other_Income_LSC,Interest_Investment_Income_LSC,Publication_Income_LSC,Other_Grants_i.e._TIG_Disaster_LSC,Other_Funds_LSC,Attorney_Fee_Awards_NonLSC,Bar_Association_Grants_NonLSC,Carryover_Funds_NonLSC,Community_Development_Block_Grants_NonLSC,Corporate_and_Individual_Contributions_NonLSC,Cy_Pres_Awards_NonLSC,Filing_and_Other_Fees_NonLSC,Filing_Fees_NonLSC,Foundation_Grants_NonLSC,General_State_Grants_NonLSC,HHS_Grants_NonLSC,HUD_Grants_NonLSC,IOLTA_Grants_NonLSC,Local_Grants_NonLSC,Older_Americans_Act_NonLSC,Other_Federal_Grants_NonLSC,Private_Foundation_Grants_NonLSC,Publication_Income_NonLSC,Specific_State_Grants_and_Contracts_NonLSC,State_Grants_NonLSC,Title_XX_of_Social_Security_Act_NonLSC,United_Way_Grants_NonLSC,Violence_Against_Women_Act_NonLSC,Other_Funds_NonLSC,Gross_Fees_and_Receipts_from_Client_Services_Client_Service_Income,Other_Income_Earned_in_ForProfit_Activities_Client_Service_Income,Total_Client_Service_Income,Total_LSC_Funds,Total_NonLSC_Funds,Total_LSC_NonLSC_Funds
Acadiana Legal Service Corporation,619051,2008,LA,LA-10,Basic Field,0,1944899,109901,NA,6496,0,NA,20888,0,10675,0,0,NA,NA,NA,NA,20000,NA,NA,NA,274411,42763,64177,0,NA,0,NA,187842,0,20000,0,20000,0,0,0,2082184,639868,2722052
Acadiana Legal Service Corporation,619051,2009,LA,LA-10,Basic Field,0,2140390,165215,NA,2404,0,NA,67412,0,213137,0,0,NA,NA,NA,NA,6667,NA,NA,NA,341716,52979,64176,0,NA,0,NA,68000,0,0,0,176,0,0,0,2375421,746851,3122272
Acadiana Legal Service Corporation,619051,2010,LA,LA-10,Basic Field,4154,2311062,261996,NA,2973,0,NA,0,4438,0,0,0,NA,NA,NA,61641,651976,NA,NA,NA,312000,12000,67780,0,NA,0,NA,12500,0,0,0,17122,0,0,0,2580185,1139457,3719642
Acadiana Legal Service Corporation,619051,2011,LA,LA-10,Basic Field,12295,2215527,271395,NA,2039,0,NA,8336,0,0,0,0,NA,NA,NA,56436,678822,NA,NA,NA,312000,37450,61331,0,NA,0,NA,12500,0,0,0,1551,0,0,0,2509592,1160090,3669682
Acadiana Legal Service Corporation,619051,2012,LA,LA-10,Basic Field,14906,1890736,167076,NA,1863,0,NA,13271,0,0,0,NA,0,0,55607,NA,NA,22875,0,0,296670,4000,57519,0,742650,0,0,NA,NA,0,0,4868,0,0,0,2087852,1184189,3272041
Acadiana Legal Service Corporation,619051,2013,LA,LA-10,Basic Field,22827,1700539,114209,2979,NA,0,8336,NA,0,0,0,NA,0,0,53861,NA,NA,12656,0,0,282517,8000,61247,0,993900,0,0,NA,NA,0,0,18015,0,0,0,1848890,1430196,3279086
Acadiana Legal Service Corporation,619051,2014,LA,LA-10,Basic Field,4144,1441264,91473,3918,NA,0,0,NA,0,0,0,NA,0,0,51861,NA,NA,0,0,0,283651,8000,68738,0,1081600,0,0,NA,NA,0,0,29,0,0,0,1540799,1493879,3034678
Acadiana Legal Service Corporation,619051,2015,LA,LA-10,Basic Field,9788,1471883,8264,5359,NA,0,22921,NA,0,0,0,NA,0,0,51303,NA,NA,0,0,0,304304,5000,75000,0,1137137,0,0,NA,NA,0,0,4039,0,0,0,1518215,1576783,3094998
Acadiana Legal Service Corporation,619051,2016,LA,LA-10,Basic Field,0,1489035,62025,6227,NA,0,0,NA,0,0,97577,NA,0,14893,52851,NA,NA,0,0,0,366215,15000,77038,0,849207,0,0,NA,NA,0,0,3646,0,0,0,1557287,1476427,3033714
Acadiana Legal Service Corporation,619051,2017,LA,LA-10,Basic Field,0,1474467,201787,7002,NA,0,0,NA,0,854796,0,NA,0,0,119897,NA,NA,0,0,0,520212,21500,80819,0,0,0,0,NA,NA,0,0,406,0,0,0,1683256,1597630,3280886
Acadiana Legal Service Corporation,619051,2017,LA,LA-11,Basic Field,0,1472847,0,648,NA,0,0,NA,0,622756,0,NA,0,0,28245,NA,NA,0,0,0,433660,0,65982,0,1098,0,0,NA,NA,0,0,0,0,0,0,1473495,1151741,2625236
Alaska Legal Services Corporation,902000,2008,AK,AK-1,Basic Field,0,720614,63651,NA,323,0,NA,0,0,414,57819,57952,NA,NA,NA,NA,0,NA,NA,NA,61063,22013,117107,43642,NA,0,NA,598852,0,1438,153959,83919,0,0,0,784588,1198178,1982766
Alaska Legal Services Corporation,902000,2009,AK,AK-1,Basic Field,0,793046,46208,NA,123,0,NA,0,0,738,3676,60000,NA,NA,NA,NA,9000,NA,NA,NA,65138,22004,109032,158505,NA,0,NA,809736,0,985,120199,100051,0,0,0,839377,1459064,2298441
Alaska Legal Services Corporation,902000,2010,AK,AK-1,Basic Field,1150,856284,22774,NA,213,0,NA,0,17817,0,199,1.00E+05,NA,NA,NA,0,4505,NA,NA,NA,32257,28500,114877,332387,NA,0,NA,559708,0,1628,0,96711,0,0,0,880421,1288589,2169010
Alaska Legal Services Corporation,902000,2011,AK,AK-1,Basic Field,65059,820885,6392,NA,14,0,NA,0,20570,0,26426,1.00E+05,NA,NA,NA,0,10664,NA,NA,NA,16500,194640,315512,175088,NA,0,NA,629657,0,79428,0,154721,0,0,0,892350,1723206,2615556
Alaska Legal Services Corporation,902000,2012,AK,AK-1,Basic Field,445,700546,0,NA,74,0,NA,0,0,0,14941,NA,148676,0,0,NA,NA,1010324,167814,87478,23250,231702,148187,1990,20549,0,0,NA,NA,9318,18190,2735,0,0,0,701065,1885154,2586219
Alaska Legal Services Corporation,902000,2013,AK,AK-1,Basic Field,0,662429,76987,86,NA,0,40000,NA,170316,0,0,NA,91305,0,0,NA,NA,529049,46812,3687,11250,208412,225803,66732,45555,0,375709,NA,NA,12852,128825,11358,0,0,0,779502,1927665,2707167
Alaska Legal Services Corporation,902000,2014,AK,AK-1,Basic Field,400,646137,4704,36,NA,0,1003,NA,35455,0,28393,NA,175646,0,0,NA,NA,566070,354219,62865,19875,129162,210574,44408,6296,0,51775,NA,NA,8250,0,21754,0,0,0,652280,1714742,2367022
Alaska Legal Services Corporation,902000,2015,AK,AK-1,Basic Field,0,659864,73472,36,NA,0,11923,NA,138301,0,608314,NA,223164,0,0,NA,NA,500463,0,230526,19875,138923,229707,235640,22392,0,462783,NA,NA,2866,0,17231,0,0,0,745295,2830185,3575480
Alaska Legal Services Corporation,902000,2016,AK,AK-1,Basic Field,8738,741073,11404,41,NA,0,170523,NA,99335,2,458276,NA,170939,0,0,NA,NA,431174,0,520170,22500,192035,170310,221101,71625,0,529318,NA,NA,5976,0,6357,0,0,0,931779,2899118,3830897
Alaska Legal Services Corporation,902000,2017,AK,AK-1,Basic Field,0,741073,36918,78,NA,0,62020,NA,111516,100520,771643,NA,183576,0,0,NA,NA,434044,0,484648,22500,180308,201762,109971,42532,0,362745,NA,NA,9450,110270,29899,0,0,0,840089,3155384,3995473
Alaska Legal Services Corporation,902000,2008,AK,NAK-1,Native American,0,525140,0,NA,71,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,364212,0,0,0,525211,364212,889423
Alaska Legal Services Corporation,902000,2009,AK,NAK-1,Native American,0,577924,24007,NA,99,0,NA,0,0,0,215,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,58507,0,NA,0,NA,0,0,0,0,156618,0,0,0,602030,215340,817370
Alaska Legal Services Corporation,902000,2010,AK,NAK-1,Native American,905,623109,42335,NA,8,0,NA,0,0,0,16833,0,NA,NA,NA,0,0,NA,NA,NA,0,0,8065,5868,NA,0,NA,0,0,0,0,139882,0,0,0,666357,170648,837005
Alaska Legal Services Corporation,902000,2011,AK,NAK-1,Native American,12693,598212,0,NA,0,0,NA,0,3960,0,50984,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,53144,NA,0,NA,0,0,0,0,107202,0,0,0,610905,215290,826195
Alaska Legal Services Corporation,902000,2012,AK,NAK-1,Native American,45243,509357,0,NA,54,0,NA,0,0,800,9623,NA,2200,0,0,NA,NA,0,0,0,0,0,0,13990,0,0,0,NA,NA,0,0,188130,0,0,0,554654,214743,769397
Alaska Legal Services Corporation,902000,2013,AK,NAK-1,Native American,56,499474,34562,98,NA,0,0,NA,52994,0,0,NA,265012,0,0,NA,NA,0,0,0,0,0,0,58332,0,0,0,NA,NA,0,0,0,0,0,0,534190,376338,910528
Alaska Legal Services Corporation,902000,2014,AK,NAK-1,Native American,0,530369,25832,69,NA,0,0,NA,0,0,32724,NA,12500,0,0,NA,NA,0,0,0,0,0,0,25460,0,0,0,NA,NA,0,124243,403417,0,0,0,556270,598344,1154614
Alaska Legal Services Corporation,902000,2015,AK,NAK-1,Native American,6472,542139,25832,93,NA,0,0,NA,0,0,117531,NA,455411,0,0,NA,NA,0,0,0,0,0,0,30805,0,0,0,NA,NA,0,116985,0,0,0,0,574536,720732,1295268
Alaska Legal Services Corporation,902000,2016,AK,NAK-1,Native American,55288,556121,66886,146,NA,0,0,NA,12308,0,167213,NA,523383,0,0,NA,NA,0,0,0,0,0,0,30151,25,0,0,NA,NA,0,193765,0,0,0,0,678441,926845,1605286
Alaska Legal Services Corporation,902000,2017,AK,NAK-1,Native American,53306,556121,170455,93,NA,0,0,NA,0,27648,179959,NA,543508,0,0,NA,NA,0,0,0,0,0,0,89232,0,0,0,NA,NA,0,119270,0,0,0,0,779975,959617,1739592
American Samoa Legal Aid,955111,2015,AS,AS-1,Basic Field,0,222147,0,0,NA,0,129501,NA,0,1200,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,351648,1200,352848
American Samoa Legal Aid,955111,2016,AS,AS-1,Basic Field,0,216951,11828,0,NA,0,116049,NA,0,1200,0,NA,270,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,426296,0,0,0,344828,427766,772594
American Samoa Legal Aid,955111,2017,AS,AS-1,Basic Field,0,216951,20817,0,NA,0,115890,NA,0,1200,74259,NA,100,0,0,NA,NA,0,25000,0,0,0,0,0,0,0,0,NA,NA,0,0,254,0,0,0,353658,100813,454471
"Anishinabe Legal Services, Inc.",724018,2008,MN,NMN-1,Native American,0,232054,23000,NA,0,0,NA,0,0,1500,239495,0,NA,NA,NA,NA,49904,NA,NA,NA,52196,75250,11000,0,NA,0,NA,339398,0,0,86726,13808,0,0,0,255054,869277,1124331
"Anishinabe Legal Services, Inc.",724018,2009,MN,NMN-1,Native American,0,255379,9940,NA,0,0,NA,0,0,2000,167384,0,NA,NA,NA,NA,75000,NA,NA,NA,43194,84415,11000,0,NA,0,NA,323059,0,0,0,35285,0,0,0,265319,741337,1006656
"Anishinabe Legal Services, Inc.",724018,2010,MN,NMN-1,Native American,0,275346,21075,NA,0,0,NA,0,0,2500,106075,0,NA,NA,NA,0,0,NA,NA,NA,41102,36000,16000,3023,NA,0,NA,354633,0,0,0,2935,0,0,0,296421,562268,858689
"Anishinabe Legal Services, Inc.",724018,2011,MN,NMN-1,Native American,0,264344,26963,NA,0,0,NA,0,0,2000,114640,0,NA,NA,NA,0,0,NA,NA,NA,35078,80969,16000,34054,NA,0,NA,335473,0,0,0,2538,0,0,0,291307,620752,912059
"Anishinabe Legal Services, Inc.",724018,2012,MN,NMN-1,Native American,0,225080,25406,NA,0,0,NA,0,0,3000,131329,NA,0,0,0,NA,NA,187339,0,0,54237,108253,11000,91814,0,0,34500,NA,NA,0,0,5676,0,0,0,250486,627148,877634
"Anishinabe Legal Services, Inc.",724018,2013,MN,NMN-1,Native American,0,220713,22000,0,NA,0,0,NA,0,2000,148831,NA,9,0,0,NA,NA,127088,0,0,53832,110974,11000,64582,8000,0,27000,NA,NA,0,0,7541,0,0,0,242713,560857,803570
"Anishinabe Legal Services, Inc.",724018,2014,MN,NMN-1,Native American,0,234365,22000,0,NA,0,5099,NA,0,3500,148831,NA,288,0,0,NA,NA,133813,0,0,26000,109283,11000,60342,62656,0,40250,NA,NA,0,8728,4704,0,0,0,261464,609395,870859
"Anishinabe Legal Services, Inc.",724018,2015,MN,NMN-1,Native American,0,239566,23000,0,NA,0,21426,NA,0,2400,135963,NA,25,0,0,NA,NA,140529,0,0,28000,95146,11000,49432,82344,0,33694,NA,NA,0,109913,485,0,0,0,283992,688931,972923
"Anishinabe Legal Services, Inc.",724018,2016,MN,NMN-1,Native American,0,245745,22571,0,NA,0,25824,NA,0,2500,70112,NA,2300,0,0,NA,NA,147247,0,0,30000,114931,11000,11364,70000,0,55081,NA,NA,0,66372,846,0,0,0,294140,581753,875893
"Anishinabe Legal Services, Inc.",724018,2017,MN,NMN-1,Native American,0,245745,21020,0,NA,0,1339,NA,0,0,62906,NA,6580,0,0,NA,NA,146309,0,0,39818,102240,11000,129450,34273,0,28850,NA,NA,0,0,642,0,0,0,268104,562068,830172
Appalachian Research and Defense Fund of Kentucky,618030,2008,KY,KY-5,Basic Field,4958,1970137,140309,NA,14167,0,NA,18750,14872,0,327818,0,NA,NA,NA,NA,0,NA,NA,NA,356522,0,66591,0,NA,0,NA,1692487,0,0,135533,234690,0,0,0,2148321,2828513,4976834
Appalachian Research and Defense Fund of Kentucky,618030,2009,KY,KY-5,Basic Field,0,2168167,158860,NA,2000,0,NA,11250,20118,25000,331287,0,NA,NA,NA,NA,115000,NA,NA,NA,303111,0,32733,117800,NA,0,NA,1467016,0,0,135530,65714,0,0,0,2340277,2613309,4953586
Appalachian Research and Defense Fund of Kentucky,618030,2010,KY,KY-5,Basic Field,11634,2341050,150069,NA,0,0,NA,66128,15938,25000,176860,0,NA,NA,NA,1301609,0,NA,NA,NA,154527,0,23925,203989,NA,0,NA,255229,0,0,86874,54942,0,0,0,2568881,2298893,4867774
Appalachian Research and Defense Fund of Kentucky,618030,2011,KY,KY-5,Basic Field,22360,2244277,0,NA,0,0,NA,33700,22283,0,0,0,NA,NA,NA,1209805,0,NA,NA,NA,178300,10000,30924,76183,NA,0,NA,307280,0,0,53378,49444,0,0,0,2300337,1937597,4237934
Appalachian Research and Defense Fund of Kentucky,618030,2012,KY,KY-5,Basic Field,44826,1915271,0,NA,985,0,NA,0,0,142640,0,NA,63005,0,1175786,NA,NA,0,0,15943,213960,0,44582,30945,0,0,0,NA,NA,0,55975,250000,0,0,0,1961082,1992836,3953918
Appalachian Research and Defense Fund of Kentucky,618030,2013,KY,KY-5,Basic Field,75591,1734851,0,662,NA,0,0,NA,0,0,0,NA,32416,0,944903,NA,NA,198780,0,14622,151555,25000,26631,97680,0,0,0,NA,NA,0,23493,0,0,0,0,1811104,1515080,3326184
Appalachian Research and Defense Fund of Kentucky,618030,2014,KY,KY-5,Basic Field,47770,1502379,0,109,NA,0,0,NA,0,0,0,NA,28812,0,835503,NA,NA,292214,0,4383,112280,0,32137,129509,0,0,0,NA,NA,4150,80057,0,0,0,0,1550258,1519045,3069303
Appalachian Research and Defense Fund of Kentucky,618030,2015,KY,KY-5,Basic Field,29942,1534297,0,873,NA,0,3933,NA,0,0,0,NA,54873,61635,848651,NA,NA,168420,31867,7607,156514,20050,31272,75000,5000,0,66249,NA,NA,8527,93014,8875,0,0,0,1569045,1637554,3206599
Appalachian Research and Defense Fund of Kentucky,618030,2016,KY,KY-5,Basic Field,41658,1632182,0,2980,NA,0,22807,NA,0,0,428706,NA,26843,0,784902,NA,NA,155194,0,15598,1785036,0,30215,67788,5000,0,0,NA,NA,8528,128162,12960,0,0,0,1699627,3448932,5148559
Appalachian Research and Defense Fund of Kentucky,618030,2017,KY,KY-5,Basic Field,30916,1613022,146607,4702,NA,0,19844,NA,0,0,1719577,NA,37797,10874,820106,NA,NA,163412,0,35471,125387,0,37810,72949,3000,0,15713,NA,NA,4150,356780,0,0,0,0,1815091,3403026,5218117
"Atlanta Legal Aid Society, Inc.",611010,2008,GA,GA-1,Basic Field,4000,2509166,0,NA,11186,0,NA,30504,0,1558297,0,193381,NA,NA,NA,NA,637350,NA,NA,NA,980000,584474,559902,279597,NA,0,NA,842441,0,450603,0,851346,0,0,0,2554856,6937391,9492247
"Atlanta Legal Aid Society, Inc.",611010,2009,GA,GA-1,Basic Field,250,2761373,0,NA,2698,0,NA,35413,0,1423558,0,235439,NA,NA,NA,NA,736965,NA,NA,NA,835800,496476,517493,398336,NA,0,NA,642747,0,467462,0,833553,0,0,0,2799734,6587829,9387563
"Atlanta Legal Aid Society, Inc.",611010,2010,GA,GA-1,Basic Field,1387,2981561,0,NA,319,0,NA,87576,0,1451331,0,214119,NA,NA,NA,0,731123,NA,NA,NA,419553,565050,601402,434789,NA,0,NA,810827,0,436779,0,724162,0,0,0,3070843,6389135,9459978
"Atlanta Legal Aid Society, Inc.",611010,2011,GA,GA-1,Basic Field,3625,2858309,0,NA,0,0,NA,72150,0,1357077,0,267957,NA,NA,NA,0,643810,NA,NA,NA,199715,555242,695632,442520,NA,0,NA,1004424,0,458254,0,598104,0,0,0,2934084,6222735,9156819
"Atlanta Legal Aid Society, Inc.",611010,2012,GA,GA-1,Basic Field,26155,2439287,0,NA,0,0,NA,105361,0,0,0,NA,1617699,38423,244435,NA,NA,0,772513,414879,153062,386002,631323,39000,540454,0,467457,NA,NA,473136,73005,367589,0,0,0,2570803,6218977,8789780
"Atlanta Legal Aid Society, Inc.",611010,2013,GA,GA-1,Basic Field,163259,2694187,0,0,NA,0,99461,NA,0,0,0,NA,1724754,8171,368790,NA,NA,0,602682,328889,167926,348483,602743,53333,489933,0,484346,NA,NA,495077,101757,549905,0,0,0,2956907,6326789,9283696
"Atlanta Legal Aid Society, Inc.",611010,2014,GA,GA-1,Basic Field,29563,3593137,0,0,NA,0,96994,NA,0,1315258,0,NA,0,12500,325872,NA,NA,0,554700,262981,121998,274198,563527,157533,143789,0,532999,NA,NA,606622,30000,920152,0,0,0,3719694,5822129,9541823
"Atlanta Legal Aid Society, Inc.",611010,2015,GA,GA-1,Basic Field,17415,3669473,0,166802,NA,0,151047,NA,0,1376624,0,NA,0,68833,293537,NA,NA,0,494718,286210,127921,329361,580294,128496,357708,0,603915,NA,NA,566296,30000,283045,0,0,0,4004737,5526958,9531695
"Atlanta Legal Aid Society, Inc.",611010,2016,GA,GA-1,Basic Field,324923,3790451,0,0,NA,0,164862,NA,0,1391278,0,NA,0,0,277453,NA,NA,0,522224,295030,164625,589549,401875,80136,664656,0,651227,NA,NA,494757,30000,196794,0,0,0,4280236,5759604,10039840
"Atlanta Legal Aid Society, Inc.",611010,2017,GA,GA-1,Basic Field,39220,3796481,0,0,NA,0,179464,NA,0,1577033,0,NA,0,278256,320574,NA,NA,0,487641,304800,247880,388949,230404,304750,599669,0,697258,NA,NA,407219,30000,1294371,0,0,0,4015165,7168804,11183969
Bay Area Legal Aid,805270,2008,CA,CA-28,Basic Field,0,4167881,0,NA,6004,0,NA,45740,618,35000,0,152245,NA,NA,NA,NA,722630,NA,NA,NA,595119,683567,0,276493,NA,0,NA,487395,0,15000,329134,1071958,0,0,0,4219625,4369159,8588784
Bay Area Legal Aid,805270,2009,CA,CA-28,Basic Field,0,4586813,0,NA,3686,0,NA,4495,0,10000,0,266667,NA,NA,NA,NA,819448,NA,NA,NA,563947,507286,0,346166,NA,0,NA,629530,0,14000,318475,1644777,0,0,0,4594994,5120296,9715290
Bay Area Legal Aid,805270,2010,CA,CA-28,Basic Field,0,4952559,0,NA,4012,0,NA,5000,0,0,0,240094,NA,NA,NA,0,818636,NA,NA,NA,572847,336932,0,485738,NA,0,NA,469434,0,16000,365389,1272974,0,0,0,4961571,4578044,9539615
Bay Area Legal Aid,805270,2011,CA,CA-28,Basic Field,57138,4747831,0,NA,2151,0,NA,0,0,0,0,288028,NA,NA,NA,0,715343,NA,NA,NA,535980,421374,0,574204,NA,0,NA,399039,0,0,350275,1453610,0,0,0,4807120,4737853,9544973
Bay Area Legal Aid,805270,2012,CA,CA-28,Basic Field,78000,4051809,0,NA,1104,0,NA,0,35575,0,0,NA,812365,328248,0,NA,NA,754699,666311,638736,476065,270590,0,8974,825339,0,0,NA,NA,2522,376229,156946,0,70123,70123,4130913,5352599,9483512
Bay Area Legal Aid,805270,2013,CA,CA-28,Basic Field,117596,3940572,0,784,NA,0,0,NA,221311,0,0,NA,804531,774612,0,NA,NA,1089953,632164,648149,486524,439767,0,47766,528731,0,0,NA,NA,10900,276755,122099,0,75434,75434,4058952,6083262,10142214
Bay Area Legal Aid,805270,2014,CA,CA-28,Basic Field,48955,4115647,0,221,NA,0,21036,NA,103124,0,0,NA,752191,368732,0,NA,NA,0,695047,570541,462864,737337,0,216582,749105,0,1094562,NA,NA,16271,284780,140125,0,75887,75887,4185859,6191261,10377120
Bay Area Legal Aid,805270,2015,CA,CA-28,Basic Field,10000,4203084,0,1121,NA,0,46430,NA,445718,0,0,NA,737846,178206,0,NA,NA,0,978303,559458,440426,1343218,0,263313,1028702,0,1256317,NA,NA,15489,214343,131585,0,87790,87790,4260635,7592924,11853559
Bay Area Legal Aid,805270,2016,CA,CA-28,Basic Field,287,4087740,0,221,NA,0,243020,NA,156277,15000,0,NA,946302,335351,0,NA,NA,213312,807366,647790,478568,1780624,0,300366,1162249,0,1685272,NA,NA,0,233466,608415,0,79112,79112,4331268,9370358,13701626
Bay Area Legal Aid,805270,2017,CA,CA-28,Basic Field,0,4122146,0,186,NA,0,50134,NA,271501,0,0,NA,1178143,326239,0,NA,NA,454204,1442062,533647,509080,2445831,0,649435,1685735,0,1649648,NA,NA,0,401208,385090,0,92506,92506,4172466,11931823,16104289
"Bay Area Legal Services, Inc.",610050,2008,FL,FL-16,Basic Field,0,2548178,56405,NA,12000,0,NA,0,0,0,0,34500,NA,NA,NA,NA,28833,NA,NA,NA,930818,1758950,381491,294783,NA,0,NA,390253,0,152000,214960,418687,0,0,0,2616583,4605275,7221858
"Bay Area Legal Services, Inc.",610050,2009,FL,FL-16,Basic Field,0,2804307,0,NA,4500,0,NA,0,0,0,902110,34046,NA,NA,NA,NA,13435,NA,NA,NA,1198751,1740765,383429,434680,NA,0,NA,337789,0,158202,26351,371288,0,0,0,2808807,5600846,8409653
"Bay Area Legal Services, Inc.",610050,2010,FL,FL-16,Basic Field,0,3027918,0,NA,2422,0,NA,3.00E+05,0,0,873608,34046,NA,NA,NA,1318942,15113,NA,NA,NA,1575373,477061,388487,392382,NA,0,NA,362830,0,151953,34224,424388,0,0,0,3330340,6048407,9378747
"Bay Area Legal Services, Inc.",610050,2011,FL,FL-16,Basic Field,7000,2902751,0,NA,6718,0,NA,0,11000,0,1391900,87926,NA,NA,NA,1457715,19836,NA,NA,NA,1296972,470373,360370,290392,NA,0,NA,288335,0,169367,33021,599317,1224,0,1224,2916469,6476524,9392993
"Bay Area Legal Services, Inc.",610050,2012,FL,FL-16,Basic Field,3098,2477214,0,NA,5342,0,NA,0,6702,17000,0,NA,45000,610000,0,NA,NA,133000,0,362648,909925,1755865,346240,228014,15033,0,0,NA,NA,161068,204355,548677,532,0,532,2485654,5343527,7829181
"Bay Area Legal Services, Inc.",610050,2013,FL,FL-16,Basic Field,2724,2608381,0,3252,NA,0,0,NA,4811,15000,0,NA,526153,500,0,NA,NA,165500,0,302350,698645,1474696,344437,100690,15514,0,555931,NA,NA,190821,287011,76308,145,0,145,2614357,4758367,7372724
"Bay Area Legal Services, Inc.",610050,2014,FL,FL-16,Basic Field,3910,3206468,0,4480,NA,0,0,NA,5307,20000,0,NA,447689,92556,0,NA,NA,160000,0,314990,440555,1638412,335018,95600,17558,0,404316,NA,NA,191206,172735,6000,419,0,419,3214858,4341942,7556800
"Bay Area Legal Services, Inc.",610050,2015,FL,FL-16,Basic Field,3932,3274589,0,4545,NA,0,0,NA,5458,0,0,NA,496463,18543,0,NA,NA,307498,0,321965,170750,1684238,345940,172248,17160,0,202152,NA,NA,191590,261505,0,777,0,777,3283066,4195510,7478576
"Bay Area Legal Services, Inc.",610050,2016,FL,FL-16,Basic Field,2300,3367646,0,6907,NA,0,0,NA,825,0,0,NA,0,81000,0,NA,NA,468002,0,324634,146551,17713,365628,485739,0,0,1724319,NA,NA,176739,276258,521930,0,572,572,3376853,4589338,7966191
"Bay Area Legal Services, Inc.",610050,2017,FL,FL-16,Basic Field,1733.12,3398986,0,6486.18,NA,0,52323,NA,6875,0,0,NA,593419.28,73033,0,NA,NA,508000,0,3.00E+05,142361,24427.55,386693.04,138226.5,0,0,1764155.34,NA,NA,197385.97,306680.42,382733.6,0,0,0,3459528.3,4823990.7,8283519
"Blue Ridge Legal Services, Inc.",447081,2008,VA,VA-19,Basic Field,0,688403,2322,NA,6208,0,NA,0,0,0,173816,0,NA,NA,NA,NA,17500,NA,NA,NA,139250,56698,26654,17000,NA,0,NA,490179,0,127298,0,121714,4400,0,4400,696933,1170109,1867042
"Blue Ridge Legal Services, Inc.",447081,2009,VA,VA-19,Basic Field,0,757598,-1284,NA,4111,0,NA,10000,0,135,160164,0,NA,NA,NA,NA,10000,NA,NA,NA,65103,50477,29689,6526,NA,0,NA,650916,0,126889,0,119761,3154,0,3154,770425,1219660,1990085
"Blue Ridge Legal Services, Inc.",447081,2010,VA,VA-19,Basic Field,2500,818008,0,NA,3968,0,NA,0,0,0,185309,0,NA,NA,NA,320630,8300,NA,NA,NA,28912,55153,35788,76986,NA,0,NA,352333,0,122738,0,117958,7243,0,7243,824476,1304107,2128583
"Blue Ridge Legal Services, Inc.",447081,2011,VA,VA-19,Basic Field,11202,784193,2508,NA,2839,0,NA,15000,0,8042,229559,0,NA,NA,NA,417682,8500,NA,NA,NA,12447,42015,37622,8310,NA,0,NA,151921,0,124388,14671,127757,7817,0,7817,815742,1182914,1998656
"Blue Ridge Legal Services, Inc.",447081,2012,VA,VA-19,Basic Field,5585,669232,2685,NA,1014,0,NA,6250,0,6294,239626,NA,151020,0,369828,NA,NA,158498,0,0,6223,58055,31378,0,7500,0,56307,NA,NA,128621,0,83597,0,0,0,684766,1296947,1981713
"Blue Ridge Legal Services, Inc.",447081,2013,VA,VA-19,Basic Field,7039,676298,2815,893,NA,0,145130,NA,0,11242,145374,NA,143088,0,359323,NA,NA,193482,0,0,0,64888,38908,0,7500,0,56533,NA,NA,166666,0,71075,0,0,0,832175,1258079,2090254
"Blue Ridge Legal Services, Inc.",447081,2014,VA,VA-19,Basic Field,3369,767937,17654,930,NA,0,145200,NA,0,10087,452778,NA,146034,0,383054,NA,NA,206260,0,0,0,67113,55736,0,5500,0,49943,NA,NA,193959,0,63509,0,0,0,935090,1633973,2569063
"Blue Ridge Legal Services, Inc.",447081,2015,VA,VA-19,Basic Field,30599,784252,5192,879,NA,0,199851,NA,0,0,509085,NA,109990,0,398866,NA,NA,214774,0,0,0,72887,41534,0,5500,0,73915,NA,NA,190323,0,143965,0,0,0,1020773,1760839,2781612
"Blue Ridge Legal Services, Inc.",447081,2016,VA,VA-19,Basic Field,12623,791756,4662,1414,NA,0,151128,NA,0,0,499308,NA,97099,0,395530,NA,NA,212978,0,0,0,76625,41753,26523,5000,0,100783,NA,NA,176158,0,90547,0,0,0,961583,1722304,2683887
"Blue Ridge Legal Services, Inc.",447081,2017,VA,VA-19,Basic Field,841,791317,15050,2097,NA,0,123669,NA,0,0,505747,NA,202087,0,380968,NA,NA,205136,0,0,0,74769,40496,313024,6000,0,144801,NA,NA,154966,0,76645,0,0,0,932974,2104639,3037613
"California Indian Legal Services, Inc.",705158,2008,CA,CA-1,Basic Field,0,32757,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,9000,30459,0,NA,0,NA,0,0,0,0,0,0,0,0,32757,39459,72216
