org_name,recipient_id,demo_year,state,service_area__c,service_area_type__c,Groups,Men,Other_gender,Unknown_gender,Women,age_0_17,age_18_35,age_18_59,age_36_59,age_60_and_Over,Unknown_age,Asian,Black,Hispanic,Native_American,Other_ethnicity,Unknown_ethnicity,White,Non_Veteran,Unknown_veteran,Veteran,Asian_0_17,Asian_18_35,Asian_18_59,Asian_36_59,Asian_60 and Over,Asian_Unknown,Black_0_17,Black_18_35,Black_18_59,Black_36_59,Black_60 and Over,Black_Unknown,Hispanic_0_17,Hispanic_18_35,Hispanic_18_59,Hispanic_36_59,Hispanic_60 and Over,Hispanic_Unknown,Native American_0_17,Native American_18_35,Native American_18_59,Native American_36_59,Native American_60 and Over,Native American_Unknown,Other_0_17,Other_18_35,Other_18_59,Other_36_59,Other_60 and Over,Other_Unknown,Unknown_0_17,Unknown_18_35,Unknown_36_59,Unknown_60 and Over,Unknown_Unknown,White_0_17,White_18_35,White_18_59,White_36_59,White_60 and Over,White_Unknown
Legal Aid of NorthWest Texas,744050,2009,TX,TX-14,Basic Field,0,4462,NA,NA,13932,79,NA,16615,NA,1700,NA,182,4487,5160,119,402,NA,8044,NA,NA,NA,2,NA,164,NA,16,NA,9,NA,4029,NA,449,NA,29,NA,4717,NA,414,NA,0,NA,112,NA,7,NA,2,NA,351,NA,49,NA,NA,NA,NA,NA,NA,37,NA,7242,NA,765,NA
Legal Aid of NorthWest Texas,744050,2010,TX,TX-14,Basic Field,0,5802,NA,NA,18134,199,NA,21691,NA,2046,NA,221,6067,6527,142,489,NA,10490,NA,NA,NA,1,NA,197,NA,23,NA,33,NA,5448,NA,586,NA,71,NA,5977,NA,479,NA,2,NA,128,NA,12,NA,7,NA,435,NA,47,NA,NA,NA,NA,NA,NA,85,NA,9506,NA,899,NA
Legal Aid of NorthWest Texas,744050,2011,TX,TX-14,Basic Field,1,5543,NA,NA,17049,231,NA,20125,NA,2237,NA,223,6189,6121,163,296,NA,9601,NA,NA,NA,6,NA,203,NA,14,NA,57,NA,5440,NA,692,NA,106,NA,5465,NA,550,NA,1,NA,145,NA,17,NA,4,NA,262,NA,30,NA,NA,NA,NA,NA,NA,57,NA,8610,NA,934,NA
Legal Aid of NorthWest Texas,744050,2012,TX,TX-14,Basic Field,4,5377,NA,NA,16206,222,NA,19018,NA,2347,NA,216,6086,5959,173,332,NA,8821,20657,NA,1024,5,NA,190,NA,21,NA,55,NA,5330,NA,701,NA,111,NA,5251,NA,597,NA,1,NA,152,NA,20,NA,6,NA,291,NA,35,NA,NA,NA,NA,NA,NA,44,NA,7804,NA,973,NA
Legal Aid of NorthWest Texas,744050,2013,TX,TX-14,Basic Field,2,4280,NA,NA,12640,203,NA,14784,NA,1935,NA,181,4126,4757,133,275,NA,7450,16101,NA,821,0,NA,151,NA,30,NA,47,NA,3545,NA,534,NA,102,NA,4190,NA,465,NA,1,NA,114,NA,18,NA,3,NA,236,NA,36,NA,NA,NA,NA,NA,NA,50,NA,6548,NA,852,NA
Legal Aid of NorthWest Texas,744050,2014,TX,TX-14,Basic Field,3,4082,NA,NA,12459,197,6937,NA,7131,2279,NA,211,3985,4736,121,281,NA,7210,15802,NA,742,1,71,NA,92,47,NA,49,1268,NA,2038,630,NA,85,2237,NA,1844,570,NA,1,55,NA,44,21,NA,10,109,NA,126,36,NA,NA,NA,NA,NA,NA,51,3197,NA,2987,975,NA
Legal Aid of NorthWest Texas,744050,2015,TX,TX-14,Basic Field,4,4267,1,NA,12757,164,6695,NA,7919,2251,NA,201,4154,4953,135,251,NA,7335,16137,NA,892,1,76,NA,90,34,NA,46,1184,NA,2262,662,NA,63,2205,NA,2125,560,NA,0,47,NA,57,31,NA,5,91,NA,118,37,NA,NA,NA,NA,NA,NA,49,3092,NA,3267,927,NA
Legal Aid of NorthWest Texas,744050,2016,TX,TX-14,Basic Field,0,4977,0,NA,14039,138,7628,NA,8409,2841,NA,217,4749,5631,143,327,NA,7949,17958,NA,1058,2,84,NA,101,30,NA,32,1499,NA,2379,839,NA,56,2585,NA,2277,713,NA,0,51,NA,75,17,NA,5,132,NA,157,33,NA,NA,NA,NA,NA,NA,43,3277,NA,3420,1209,NA
Legal Aid of NorthWest Texas,744050,2017,TX,TX-14,Basic Field,NA,4961,0,0,14531,155,7684,NA,8697,2956,0,248,5126,5597,129,246,136,8010,18521,0,971,1,98,NA,102,47,0,47,1672,NA,2548,859,0,55,2517,NA,2307,718,0,0,41,NA,67,21,0,3,98,NA,111,34,0,7,40,55,34,0,42,3218,NA,3507,1243,0
Legal Aid of Southeastern Pennsylvania,339141,2008,PA,PA-23,Basic Field,0,1728,NA,NA,5363,25,NA,5942,NA,1124,NA,50,2242,224,6,122,NA,4447,NA,NA,NA,0,NA,42,NA,8,NA,8,NA,1931,NA,303,NA,1,NA,210,NA,13,NA,0,NA,6,NA,0,NA,0,NA,106,NA,16,NA,NA,NA,NA,NA,NA,16,NA,3647,NA,784,NA
Legal Aid of Southeastern Pennsylvania,339141,2009,PA,PA-23,Basic Field,0,2105,NA,NA,5878,36,NA,6642,NA,1305,NA,73,2354,298,13,177,NA,5068,NA,NA,NA,0,NA,54,NA,19,NA,10,NA,2034,NA,310,NA,3,NA,281,NA,14,NA,0,NA,11,NA,2,NA,0,NA,156,NA,21,NA,NA,NA,NA,NA,NA,23,NA,4106,NA,939,NA
Legal Aid of Southeastern Pennsylvania,339141,2010,PA,PA-23,Basic Field,0,2378,NA,NA,6194,33,NA,7059,NA,1482,NA,98,2688,303,11,170,NA,5304,NA,NA,NA,1,NA,77,NA,20,NA,4,NA,2256,NA,428,NA,3,NA,282,NA,18,NA,0,NA,8,NA,3,NA,0,NA,144,NA,26,NA,NA,NA,NA,NA,NA,25,NA,4292,NA,987,NA
Legal Aid of Southeastern Pennsylvania,339141,2011,PA,PA-23,Basic Field,0,1552,NA,NA,4692,22,NA,5569,NA,653,NA,65,2115,294,7,126,NA,3637,NA,NA,NA,0,NA,50,NA,15,NA,8,NA,1869,NA,238,NA,3,NA,282,NA,9,NA,0,NA,6,NA,1,NA,1,NA,105,NA,20,NA,NA,NA,NA,NA,NA,10,NA,3257,NA,370,NA
