org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,lsc_expenditures__c_Audit_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,lsc_expenditures__c_Insurance_Non_Personnel_Expenses,lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,lsc_expenditures__c_Library_Non_Personnel_Expenses,lsc_expenditures__c_Litigation_Non_Personnel_Expenses,lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,lsc_expenditures__c_Other_Non_Personnel_Expenses,lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,lsc_expenditures__c_Telephone_Non_Personnel_Expenses,lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Audit_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,non_lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,non_lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,non_lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,non_lsc_expenditures__c_Insurance_Non_Personnel_Expenses,non_lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,non_lsc_expenditures__c_Library_Non_Personnel_Expenses,non_lsc_expenditures__c_Litigation_Non_Personnel_Expenses,non_lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,non_lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,non_lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,non_lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,non_lsc_expenditures__c_Telephone_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,Total_lsc_expenditures__c,Total_non_lsc_expenditures__c,Total_lsc_nonlsc_expenditures__c,Total_Personnel_Expenses,Total_Non_Personnel_Expenses
Acadiana Legal Service Corporation,619051,2017,LA,LA-11,Basic Field,5000,15000,17500,1875,192909,47839,20761,305715,827,2217,0,34387,11376,46831,87763,195293,46933,0,0,49717,0,5181,0,14750,5000,95339,28032,4633,76564,10073,10179,408278,1285,132,0,13687,1267,5108,30614,117001,16153,0,0,7508,0,3288,0,36712,1101874,870853,1972727,1414137,558590
Alaska Legal Services Corporation,902000,2008,AK,AK-1,Basic Field,0,0,0,10,96022,15865,6471,119175,6223,23866,0,14703,217461,0,115694,16369,0,0,82307,13038,0,4099,840,6237,19442,7881,2920,8213,292855,4288,16589,619134,5657,3115,0,41353,-381781,0,324177,46951,0,0,140910,21891,0,0,8208,16375,738380,1198178,1936558,1630377,306181
Alaska Legal Services Corporation,902000,2008,AK,NAK-1,Native American,0,0,0,0,63593,2546,3308,151471,2609,3827,0,4622,135078,0,64828,8611,0,0,43810,6088,0,1866,0,8947,0,0,0,155,53498,1963,2130,116421,1716,4459,0,4428,57239,0,51646,0,0,0,22351,4685,0,39,0,43482,501204,364212,865416,510068,355348
Alaska Legal Services Corporation,902000,2009,AK,AK-1,Basic Field,0,0,0,3240,99216,15500,4858,126106,5113,21128,0,14040,239168,0,121978,28621,1486,0,67224,9788,0,5997,0,6120,21380,0,3684,16498,395819,5147,17054,730732,13260,3514,0,38794,-422350,0,357274,47737,3000,0,162144,25555,0,5491,14016,18829,769583,1457578,2227161,1907483,319678
Alaska Legal Services Corporation,902000,2009,AK,NAK-1,Native American,0,0,0,0,75895,3901,3313,188708,3285,5707,0,3696,183685,0,47987,17015,0,0,39408,5088,0,5219,0,13998,0,0,0,0,34731,448,1386,72979,1189,4990,0,3180,13139,0,29850,14883,0,0,13404,2531,0,0,0,22630,596905,215340,812245,482048,330197
Alaska Legal Services Corporation,902000,2010,AK,AK-1,Basic Field,0,0,0,3495,115307,14164,6660,150645,7078,45721,0,13069,262862,0,111567,27744,2018,0,78983,16103,0,6617,0,11993,21300,0,4465,15312,323124,7040,14981,674610,6942,30127,0,19422,-453090,0,348915,51260,0,0,162741,22698,0,29307,9689,8331,874026,1297174,2171200,1803172,368028
Alaska Legal Services Corporation,902000,2010,AK,NAK-1,Native American,0,0,0,0,89951,3856,3686,205375,4028,11810,0,2889,193288,0,62282,28136,0,0,37541,5722,0,-300,0,18095,0,0,0,0,26353,113,1402,70196,1196,1034,0,1143,12155,0,13327,14611,0,0,7951,1377,0,687,0,19103,666359,170648,837007,510231,326776
Alaska Legal Services Corporation,902000,2011,AK,AK-1,Basic Field,24425,0,2400,0,105182,7982,4630,98243,3931,30250,0,28394,216944,0,148385,8696,2430,0,72791,15267,0,18496,13655,15838,0,0,2959,10201,306494,1448,11363,733806,9673,5334,0,20449,74781,0,146761,64288,0,0,134636,20352,0,10737,0,32468,817939,1585750,2403689,1611855,791834
Alaska Legal Services Corporation,902000,2011,AK,NAK-1,Native American,0,0,0,0,75117,622,3683,180782,4579,15130,0,11601,181938,0,38674,13065,0,0,40053,7048,0,4020,0,8208,0,0,0,0,35894,82,614,110796,753,221,0,1225,9841,0,21663,1946,0,0,7910,1496,0,4588,0,18261,584520,215290,799810,477937,321873
Alaska Legal Services Corporation,902000,2012,AK,AK-1,Basic Field,10351,0,1420,0,142067,15451,6521,125644,6527,21004,0,22075,8171,0,205020,17248,1900,0,82747,12953,0,6708,4112,8567,2618,3548,42627,10476,379463,3707,14249,804117,12232,3756,0,28216,11683,0,235199,62421,0,0,184186,25795,0,23520,1040,36302,698486,1885155,2583641,1971179,612462
Alaska Legal Services Corporation,902000,2012,AK,NAK-1,Native American,8911,0,1222,0,118450,5458,4672,165209,2815,8715,0,11598,2273,0,128747,8384,0,0,52981,7107,0,5534,3540,10860,700,0,96,0,42005,367,1601,118204,833,2539,0,7427,619,0,20227,0,0,0,7257,1527,0,1747,278,9316,546476,214743,761219,601226,159993
Alaska Legal Services Corporation,902000,2013,AK,AK-1,Basic Field,11342,0,31902,0,141977,5112,5493,137930,3436,23291,0,22521,15279,0,222201,13958,5050,0,77302,13765,0,12056,5260,10020,3261,5895,610,17422,409590,17291,16360,868598,11917,15414,0,14620,9495,0,209929,68981,0,0,188571,24944,0,19355,1512,23901,757895,1927666,2685561,2073164,612397
Alaska Legal Services Corporation,902000,2013,AK,NAK-1,Native American,7139,0,1336,0,96704,2949,3886,145833,2121,11286,0,6215,2399,0,95778,9895,0,0,37909,5019,0,6473,3311,8948,1909,0,357,0,80296,1577,2804,167407,2008,8059,0,2697,728,0,60351,0,0,0,18982,3762,0,2548,885,21968,447201,376338,823539,656264,167275
Alaska Legal Services Corporation,902000,2014,AK,AK-1,Basic Field,8200,0,3653,0,130924,9346,5926,117479,4082,27049,0,16052,18372,0,191412,14928,0,0,71469,12935,0,13219,5636,13797,1772,0,2589,8928,344099,12955,13717,782084,9899,4238,0,23374,6560,0,258595,78460,3084,0,166909,18181,0,14067,1217,9254,664479,1759982,2424461,1917981,506480
Alaska Legal Services Corporation,902000,2014,AK,NAK-1,Native American,8127,0,3620,4,113077,4564,4875,202686,3152,10239,0,6715,2247,0,132932,4960,0,0,47091,6358,0,14579,5585,20785,1901,5032,847,0,111373,1217,5253,285524,5547,10421,0,5577,548,0,56346,0,0,0,34597,6925,0,4772,1307,14824,591596,552011,1143607,906898,236709
Alaska Legal Services Corporation,902000,2015,AK,AK-1,Basic Field,15725,0,0,0,119533,10154,4202,139708,2270,32019,0,13503,21173,0,197154,10125,0,0,56782,9936,0,12636,4396,12586,5347,3960,0,10715,473656,8402,18502,1011278,9418,17546,0,20606,15056,0,293412,109291,1709,0,200648,23474,0,25822,1495,32844,661902,2283181,2945083,2354157,590926
Alaska Legal Services Corporation,902000,2015,AK,NAK-1,Native American,11674,0,0,0,92028,2194,3834,207349,1541,9260,0,4686,2789,0,104278,7786,0,0,38249,5137,0,3701,3264,9881,3254,18178,0,0,107391,913,4503,240351,2413,2430,0,4289,628,0,43985,0,0,0,34117,4883,0,4776,910,17560,507651,490581,998232,803168,195064
Alaska Legal Services Corporation,902000,2016,AK,AK-1,Basic Field,13087,0,37327,0,180164,3359,5674,229521,2187,25892,0,24364,8877,0,234892,31097,0,0,81045,16782,0,14132,3126,12066,0,0,4842,2810,493920,8251,16304,981904,7416,11117,0,34036,165478,0,148502,168283,45557,0,184297,25055,0,51920,0,13892,923592,2363584,3287176,2468283,818893
Alaska Legal Services Corporation,902000,2016,AK,NAK-1,Native American,9266,0,3418,0,102591,1059,3523,184754,1349,3974,0,7682,1642,0,92540,33179,0,0,38533,4925,0,5622,2213,11716,0,63260,0,0,139377,601,5080,384776,1505,4419,0,4522,54790,0,18922,741,0,0,28650,5701,0,8410,0,12618,507986,733372,1241358,956880,284478
Alaska Legal Services Corporation,902000,2017,AK,AK-1,Basic Field,10652,0,16080,0,147856,5341,3738,148961,5341,30781,0,16677,23866,0,199929,11864,0,0,64903,8613,0,9769,2700,18273,9117,0,5383,9552,539588,6788,18463,1007708,7769,20054,0,16983,23968,0,228092,187741,0,0,180785,23873,0,11641,2311,13006,725344,2312822,3038166,2471739,566427
Alaska Legal Services Corporation,902000,2017,AK,NAK-1,Native American,13688,0,1388,0,172781,2838,8969,289844,2944,10228,0,9816,2424,0,116081,56820,0,0,55343,8481,0,4539,3470,20323,3044,11354,309,1943,284478,1237,3717,268110,1589,3650,0,4572,690,0,48401,707,0,0,33161,5391,0,1803,772,15191,779977,690119,1470096,1237222,232874
American Samoa Legal Aid,955111,2015,AS,AS-1,Basic Field,0,0,72184,700,8467,0,5258,76813,0,100,0,6235,4839,3132,15707,18156,31367,0,33000,10614,0,17830,800,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305936,0,305936,119143,186793
American Samoa Legal Aid,955111,2016,AS,AS-1,Basic Field,10880,0,61943,1025,13464,0,4975,84350.33,0,7096,0,6622,5189,6138,47768,32634.46,0,0,36000,13691,0,1691,0,12659,0,0,14151,683,1356,0,1598,11109.23,0,656,0,0,1860,0,0,7522.07,42371,0,0,0,0,0,0,0,346125.79,81306.3,427432.09,198204.09,229228
American Samoa Legal Aid,955111,2017,AS,AS-1,Basic Field,13397,18689,35785,1350,0,0,4400,111252,5060,6940,0,7255,1668,4371,23928,57588,11280,0,18000,8242,0,3073,0,21380,0,0,6561,0,17636,0,1441,29906,0,3000,0,0,2498,3000,7862,0,1580,0,18000,4000,0,0,0,0,353658,95484,449142,248172,200970
"Anishinabe Legal Services, Inc.",724018,2008,MN,NMN-1,Native American,5145,0,11121,0,53804,0,2670,86098,1818,0,0,5418,1915,3783,28965,26828,0,0,0,2337,0,3817,2018,9377,3400,0,105548,2150,142208,0,7944,222472,6043,498,0,16438,6904,11429,74846,69322,3870,0,0,7886,0,7125,6012,19124,245114,713219,958333,704543,253790
"Anishinabe Legal Services, Inc.",724018,2009,MN,NMN-1,Native American,5100,0,15378,0,62864,0,2619,80373,2068,0,0,4149,709,3809,26115,31867,0,0,0,2272,0,2051,1089,3781,3400,0,57320,1301,134121,0,6578,171479,4428,911,0,8567,90297,7980,55716,67990,2942,0,0,5649,0,3439,2399,10745,244244,635262,879506,630525,248981
"Anishinabe Legal Services, Inc.",724018,2010,MN,NMN-1,Native American,5100,0,17118,0,70917,0,2930,87434,2221,815,0,4208,1093,4222,24202,38873,0,0,0,2645,0,928,836,5916,3400,0,47570,3310,112668,0,6262,138906,3963,300,0,6354,1717,7213,38449,61757,0,0,0,4175,0,2078,1199,8307,269458,447628,717086,573206,143880
"Anishinabe Legal Services, Inc.",724018,2011,MN,NMN-1,Native American,5250,0,16737,0,64714,0,2509,97578,1969,0,0,4089,702,4340,19484,39650,0,0,0,2562,0,983,703,4631,3500,0,48000,3586,112802,0,5180,173484,3489,0,0,6849,986,7450,34643,70495,1682,0,0,4304,0,1879,1328,9766,265901,489423,755324,612850,142474
"Anishinabe Legal Services, Inc.",724018,2012,MN,NMN-1,Native American,5250,0,15969,0,56553,0,1901,78589,1566,100,0,3779,298,3126,17767,38682,0,0,0,1966,0,215,582,5393,3500,0,52576,2016,116353,0,4844,158861,3036,0,0,7694,1304,6787,35913,78193,3179,0,0,4135,0,1667,1115,18127,231736,499300,731036,580911,150125
"Anishinabe Legal Services, Inc.",724018,2013,MN,NMN-1,Native American,5250,0,17252,0,48259,0,1177,54897,1665,0,0,4764,479,3765,26322,42131,0,0,0,2524,0,3251,605,5122,3500,18022,29785,1871,80422,0,4231,93080,2920,0,0,7181,1246,6593,44628,71435,1237,0,0,4062,0,5182,868,14780,217463,391043,608506,461174,147332
"Anishinabe Legal Services, Inc.",724018,2014,MN,NMN-1,Native American,6125,0,17176,15,50994,0,2219,80940,1426,815,0,4218,351,3855,18304,36765,0,0,0,2266,0,326,675,6895,2625,15818,42842,1761,94157,0,4086,156834,2879,37,0,7776,739,10320,35467,71239,3533,0,0,4523,0,4348,1378,18169,233365,478531,711896,544700,167196
"Anishinabe Legal Services, Inc.",724018,2015,MN,NMN-1,Native American,6615,0,34392,0,51120,0,2826,83146,1927,120,0,4595,869,5964,20437,36997,0,0,0,2747,0,4248,757,6355,2835,35910,32252,2560,121519,0,4524,200866,3086,40,0,7448,1444,14302,49372,89380,25620,0,0,4350,0,5643,1389,14584,263115,617124,880239,652837,227402
"Anishinabe Legal Services, Inc.",724018,2016,MN,NMN-1,Native American,6755,0,48227,0,54456,0,3276,54601,2009,0,0,5839,1492,7030,36479,39178,0,0,0,4062,0,2483,727,6506,2895,24943,37969,892,94849,0,4672,108595,2676,0,0,7832,2105,9437,47852,77919,2897,0,0,5479,0,6466,991,20378,273120,458847,731967,513929,218038
"Anishinabe Legal Services, Inc.",724018,2017,MN,NMN-1,Native American,6930,0,18831,15,51435,0,2437,104450,1535,0,0,4482,531,4766,39231,0,0,0,0,2552,0,1696,817,4335,2970,19580,36016,4335,91142,0,4620,101471,2806,32,0,8622,1997,8749,72025,82955,2782,0,0,4658,0,4360,1385,18358,244043,468863,712906,542709,170197
