org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,lsc_expenditures__c_Audit_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,lsc_expenditures__c_Insurance_Non_Personnel_Expenses,lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,lsc_expenditures__c_Library_Non_Personnel_Expenses,lsc_expenditures__c_Litigation_Non_Personnel_Expenses,lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,lsc_expenditures__c_Other_Non_Personnel_Expenses,lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,lsc_expenditures__c_Telephone_Non_Personnel_Expenses,lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Audit_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,non_lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,non_lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,non_lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,non_lsc_expenditures__c_Insurance_Non_Personnel_Expenses,non_lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,non_lsc_expenditures__c_Library_Non_Personnel_Expenses,non_lsc_expenditures__c_Litigation_Non_Personnel_Expenses,non_lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,non_lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,non_lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,non_lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,non_lsc_expenditures__c_Telephone_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,Total_lsc_expenditures__c,Total_non_lsc_expenditures__c,Total_lsc_nonlsc_expenditures__c,Total_Personnel_Expenses,Total_Non_Personnel_Expenses
"Idaho Legal Aid Services, Inc.",913000,2009,ID,NID-1,Native American,0,0,0,0,8405,0,427,29884,57,0,0,565,11225,191,4718,0,0,0,9780,3206,0,751,0,215,0,0,0,0,8909,0,0,26200,0,0,0,0,0,0,0,6207,0,0,0,0,0,0,0,564,69424,41880,111304,84323,26981
"Idaho Legal Aid Services, Inc.",913000,2010,ID,ID-1,Basic Field,13700,55993,4526,7943,246867,35749,10621,566828,16436,528,0,25283,-34594,2293,267864,0,19926,0,111334,21217,0,6867,5001,18073,0,4079,0,1056,146583,0,0,507909,0,0,0,9291,0,0,48940,6000,65,0,3988,2962,0,1825,0,5932,1402455,738630,2141085,1790991,350094
"Idaho Legal Aid Services, Inc.",913000,2010,ID,MID,Migrant Worker,0,0,300,0,42298,2433,625,57275,124,0,0,4436,32907,1224,15040,42183,0,0,14103,3003,0,302,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218126,0,218126,156796,61330
"Idaho Legal Aid Services, Inc.",913000,2010,ID,NID-1,Native American,0,0,0,0,9699,0,487,31145,122,0,0,1696,11225,207,4942,0,0,0,9780,2848,0,65,0,2638,0,0,0,0,14770,0,0,45150,0,0,0,270,0,0,7600,0,0,0,0,0,0,0,0,430,74854,68220,143074,113306,29768
"Idaho Legal Aid Services, Inc.",913000,2011,ID,ID-1,Basic Field,15010,7093,10418,8961,270380,35522,9966,613731,16590,513,0,25681,-27256,5403,310990,0,15786,0,112528,20162,0,2826,4406,15884,0,2397,9404,8940,142557,0,0,389517,0,0,0,9147,0,0,28975,0,11992,0,2802,2615,0,1680,0,3026,1474594,613052,2087646,1756150,331496
"Idaho Legal Aid Services, Inc.",913000,2011,ID,MID,Migrant Worker,0,0,300,0,43590,1549,692,53145,110,0,0,4272,28811,1024,13556,40548,0,0,12977,3111,0,157,0,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206152,0,206152,150839,55313
"Idaho Legal Aid Services, Inc.",913000,2011,ID,NID-1,Native American,0,0,0,0,9581,0,692,35543,59,0,0,324,9972,202,4735,0,0,0,9780,963,0,35,0,658,0,0,0,0,9429,0,0,94267,0,0,0,0,0,0,5654,0,0,0,0,0,0,0,0,0,72544,109350,181894,159209,22685
"Idaho Legal Aid Services, Inc.",913000,2012,ID,ID-1,Basic Field,16560,5393,3840,10018,216732,33305,9639,479940,13895,120,0,16731,11805,0,316758,0,14381,0,114803,18600,0,4250,0,18558,0,37789,0,6937,153226,0,0,529665,405,0,0,40974,0,0,33656,1883,4443,0,2802,4184,0,25240,0,4539,1305328,845743,2151071,1731860,419211
"Idaho Legal Aid Services, Inc.",913000,2012,ID,MID,Migrant Worker,0,0,290,0,35438,1967,741,54184,490,0,0,3584,28684,0,12780,41351,0,0,12941,2911,0,40,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197008,0,197008,143753,53255
"Idaho Legal Aid Services, Inc.",913000,2012,ID,NID-1,Native American,0,0,0,0,10157,0,811,35787,0,0,0,233,10033,0,4817,0,0,0,9930,942,0,0,0,244,0,0,0,0,22627,0,0,81930,0,0,0,220,0,0,4659,0,0,0,0,0,0,766,0,3313,72954,113515,186469,159977,26492
"Idaho Legal Aid Services, Inc.",913000,2013,ID,ID-1,Basic Field,15856,536,5706,8959,263128,37960,4191,520998,14694,27,0,20011,12821,4662,346769,0,6000,0,103492,20624,0,4277,4585,16040,0,3657,0,7240,148215,0,0,354286,88,86,0,8454,0,0,39032,0,6704,0,3497,2425,0,15763,0,3661,1411336,593108,2004444,1672428,332016
"Idaho Legal Aid Services, Inc.",913000,2013,ID,MID,Migrant Worker,0,0,350,0,41675,1950,122,52932,787,0,0,4052,13827,887,12649,25385,0,0,12051,2653,0,0,0,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172484,0,172484,132641,39843
"Idaho Legal Aid Services, Inc.",913000,2013,ID,NID-1,Native American,0,0,0,0,11348,0,183,38202,61,0,0,501,0,187,4960,0,0,0,9435,622,0,0,0,525,0,0,0,200,15462,0,0,107055,94,0,0,48,0,0,8128,0,0,0,0,0,0,451,0,8254,66024,139692,205716,185155,20561
"Idaho Legal Aid Services, Inc.",913000,2014,ID,ID-1,Basic Field,29890,6699,2702,7857,161124,32123,8587,578410,16954,15304,0,19302,14895,5988,344826,0,397982,0,117189,27086,0,11551,3852,14411,0,0,0,8485,110570,0,0,403874,0,0,0,4357,1443,0,36144,0,1.00E+05,0,6781,5153,0,12018,0,6202,1816732,695027,2511759,1634948,876811
"Idaho Legal Aid Services, Inc.",913000,2014,ID,MID,Migrant Worker,0,0,240,0,38506,2696,744,50402,643,0,0,4059,34,1220,19598,44892,0,0,13055,3256,0,1258,0,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183074,0,183074,153398,29676
"Idaho Legal Aid Services, Inc.",913000,2014,ID,NID-1,Native American,0,0,0,0,10740,0,843,40435,172,0,0,373,0,233,5934,0,0,0,4100,883,0,0,0,0,0,0,0,0,23618,0,0,80195,0,0,0,4,0,0,6477,0,0,0,0,0,0,0,0,7151,63713,117445,181158,167399,13759
"Idaho Legal Aid Services, Inc.",913000,2015,ID,ID-1,Basic Field,0,62138,216492,7870,296532,35942,6715,629925,21452,124,0,22837,15381,12739,421138,0,16813,0,65893,25423,0,13720,3787,11728,0,63281,0,10036,81029,0,0,258906,250,0,0,6601,1443,0,19966,0,123530,0,4106,3111,0,7734,0,2146,1886649,582139,2468788,1707496,761292
"Idaho Legal Aid Services, Inc.",913000,2015,ID,MID,Migrant Worker,0,0,0,0,41195,2360,128,63576,1188,0,0,3234,0,1035,26705,44584,0,0,11470,3292,0,830,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201485,0,201485,176060,25425
"Idaho Legal Aid Services, Inc.",913000,2015,ID,NID-1,Native American,0,0,0,0,11303,0,171,43464,131,0,0,430,0,16,5630,0,0,0,4550,1402,0,1089,0,60,0,0,0,0,17486,0,0,63945,0,0,0,0,0,0,3422,0,0,0,0,0,0,0,0,6725,68246,91578,159824,145250,14574
"Idaho Legal Aid Services, Inc.",913000,2016,ID,ID-1,Basic Field,13000,77600,7989,9250,272483,31158,12159,605084,22321,157,0,24551,8281,11890,478005,0,8739,0,65546,28184,0,33546,1420,14012,0,40039,0,11766,131806,0,0,430545,0,647,0,6017,1547,0,31960,0,0,0,3948,2112,0,13129,0,2583,1725375,676099,2401474,1949883,451591
"Idaho Legal Aid Services, Inc.",913000,2016,ID,MID,Migrant Worker,0,0,360,0,39701,0,0,70796,0,0,0,0,0,989,21676,45742,0,0,13430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192694,0,192694,177915,14779
"Idaho Legal Aid Services, Inc.",913000,2016,ID,NID-1,Native American,0,0,0,0,11428,0,152,42909,65,0,0,446,0,0,6023,0,0,0,4200,1583,0,0,0,0,0,0,0,0,15505,0,0,59358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5896,66806,80759,147565,135223,12342
"Idaho Legal Aid Services, Inc.",913000,2017,ID,ID-1,Basic Field,11400,113941,292996,8317,206014,33991,9003,512490,20529,276,0,30987,0,17003,509359,0,5891,0,65668,30200,0,16142,0,20102,0,76704,6000,13100,120081,0,1400,458569,0,0,0,9319,0,1115,19107,0,0,0,4048,1010,0,12441,0,3781,1904309,726675,2630984,1825620,805364
"Idaho Legal Aid Services, Inc.",913000,2017,ID,MID,Migrant Worker,0,0,210,0,44593,1334,585,77521,1454,0,0,2554,0,1560,20658,46506,0,0,13594,2991,0,156,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214377,0,214377,189278,25099
"Idaho Legal Aid Services, Inc.",913000,2017,ID,NID-1,Native American,0,0,0,100,11101,0,731,47841,117,0,0,243,0,0,6245,0,0,0,4200,1409,0,0,0,163,0,1908,0,0,24472,0,0,118553,0,0,0,270,0,0,0,0,0,0,0,0,0,1402,0,6574,72150,153179,225329,208212,17117
"Indiana Legal Services, Inc.",515030,2008,IN,IN-5,Basic Field,40715,0,272064,0,1008079,83363,43730,1154446,31249,6904,0,124387,8804,54569,838505,621006,27705,0,518615,106386,25972,11848,17651,68311,0,0,0,23472,517856,0,0,968630,0,0,0,0,2413,0,510032,432957,0,0,0,0,0,0,0,4275,5064309,2459635,7523944,6051511,1472433
"Indiana Legal Services, Inc.",515030,2008,IN,MIN,Migrant Worker,0,0,2708,0,11603,451,2000,43738,84,333,0,4035,0,0,18887,0,381,0,14064,652,0,2366,0,9798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111100,0,111100,74228,36872
"Indiana Legal Services, Inc.",515030,2009,IN,IN-5,Basic Field,44846,0,299672,0,1110377,91823,48168,1271596,34420,7605,0,137010,9697,60106,923595,684024,30516,0,571243,117182,28608,13050,19442,75243,0,0,0,29732,503426,0,0,958687,0,0,0,0,0,0,504796,428513,0,0,5000,0,0,0,0,4232,5578223,2434386,8012609,6385014,1627595
"Indiana Legal Services, Inc.",515030,2009,IN,MIN,Migrant Worker,0,0,4944,0,13079,1106,2000,47500,122,753,0,3615,21,0,21960,0,157,0,14064,826,0,2014,0,10557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122718,0,122718,82539,40179
"Indiana Legal Services, Inc.",515030,2010,IN,IN-5,Basic Field,37605,0,163746,0,1033619,61687,40662,1903390,35189,12301,0,144212,15483,94087,402568,721264,99261,0,518502,103028,21716,22144,24925,81491,0,0,0,13974,415016,1580,4000,1120855,0,0,0,13,2961,0,659190,230906,0,10870,12800,1847,0,0,0,4414,5536880,2478426,8015306,6486808,1528498
"Indiana Legal Services, Inc.",515030,2010,IN,MIN,Migrant Worker,0,0,3595,0,13736,251,2000,48750,40,159,0,2729,0,0,19215,0,48,0,14064,567,0,2268,0,9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116636,0,116636,81701,34935
"Indiana Legal Services, Inc.",515030,2011,IN,IN-5,Basic Field,36558,5819,153369,0,1004847,59970,39530,1850407,34209,11959,0,140198,15052,91468,391363,701187,96498,0,504069,100160,21112,21527,24231,79222,0,0,0,14110,419049,1595,4039,1131748,0,0,0,13,2991,0,665596,233150,0,10976,12924,1865,0,0,0,4457,5382755,2502513,7885268,6397347,1487921
"Indiana Legal Services, Inc.",515030,2011,IN,MIN,Migrant Worker,0,0,2517,0,14332,265,2000,49500,996,267,0,2336,1,0,16051,0,399,0,14064,509,0,1000,0,8774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113011,0,113011,79883,33128
"Indiana Legal Services, Inc.",515030,2012,IN,IN-5,Basic Field,33722,0,146839,0,926896,55318,36464,1706861,31555,11031,0,129322,13884,84373,361002,646792,89012,0,464966,92390,19474,19857,22352,73076,0,0,0,13130,389944,1484,3758,1053141,0,0,0,12,2783,0,619366,216956,0,10213,12027,1736,0,0,0,4147,4965186,2328697,7293883,5920958,1372925
"Indiana Legal Services, Inc.",515030,2012,IN,MIN,Migrant Worker,0,0,2778,0,13508,369,2000,42503,474,2261,0,3318,0,0,18129,0,895,0,14064,861,0,1350,0,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110967,0,110967,74140,36827
"Indiana Legal Services, Inc.",515030,2013,IN,IN-5,Basic Field,35510,0,237553,0,967923,64260,45463,1396836,29077,13625,0,136328,7808,41931,614036,601996,81306,0,516573,76837,10924,14434,12944,68656,0,0,0,49332,376832,1434,3632,1374751,0,0,0,11,2690,0,256446,211320,0,9870,11622,1677,0,0,0,108,4974020,2299725,7273745,5800140,1473605
"Indiana Legal Services, Inc.",515030,2013,IN,MIN,Migrant Worker,0,0,2540,0,14628,531,2000,57202,677,330,0,1960,70,0,14286,0,0,0,14064,1298,0,1000,0,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120291,0,120291,86116,34175
"Indiana Legal Services, Inc.",515030,2014,IN,IN-5,Basic Field,33850,126542,283602,0,1126886,67288,68605,2013028,34178,11365,0,115949,8605,39823,952149,747370,67489,0,536448,93925,9761,31424,47133,85892,0,0,0,20657,405401,0,0,1167097,0,0,0,0,0,0,6000,178239,0,0,5000,0,0,0,0,0,6501312,1782394,8283706,6596170,1687536
"Indiana Legal Services, Inc.",515030,2014,IN,MIN,Migrant Worker,0,0,6127,0,16633,523,2000,65863,207,0,0,3501,0,0,19040,0,1280,0,14064,615,0,4260,0,11635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145748,0,145748,101536,44212
"Indiana Legal Services, Inc.",515030,2015,IN,IN-5,Basic Field,37197,146139,347417,0,1203792,44322,40884,2331756,37499,7174,0,126491,5322,75747,898688,853504,110418,0,517482,98861,14619,18503,42452,81172,0,0,0,39829,403261,0,0,1160935,0,0,0,0,0,0,5968,177298,0,0,4974,0,0,0,0,0,7039439,1792265,8831704,7035202,1796502
"Indiana Legal Services, Inc.",515030,2015,IN,MIN,Migrant Worker,0,0,5648,0,14712,130,2000,37581,51,0,0,2845,0,416,21346,0,117,0,14064,0,0,2000,0,10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111086,0,111086,73639,37447
"Indiana Legal Services, Inc.",515030,2016,IN,IN-5,Basic Field,28255,16250,344827,0,1061630,42963,44867,2111937,37895,7217,0,117062,15245,13361,908291,800153,113282,0,497017,122504,19365,29128,33191,125141,0,0,0,74765,638389,0,0,1880807,0,0,0,0,0,0,9448,280675,0,0,7874,0,0,0,0,0,6489581,2891958,9381539,7691330,1690209
"Indiana Legal Services, Inc.",515030,2016,IN,MIN,Migrant Worker,0,0,3861,0,27414,127,2000,55525,100,25,0,2697,103,0,25095,0,0,0,14064,949,0,1014,0,7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140698,0,140698,108034,32664
"Indiana Legal Services, Inc.",515030,2017,IN,IN-5,Basic Field,36174,437,299133,0,1303136,35256,29521,2806365,11417,9982,0,99799,13114,4778,737693,821101,75828,0,449235,83845,11417,84248,29214,84248,15503,0,128200,50297,558487,15110,12652,1202728,4893,4278,0,42771,5620,2048,316154,351900,32498,0,192529,35933,4893,36106,12520,36106,7025941,3061226,10087167,8097564,1989603
"Indiana Legal Services, Inc.",515030,2017,IN,MIN,Migrant Worker,0,0,726,0,29671,137,2000,56292,211,0,0,1592,0,0,13005,11333,0,0,2277,868,0,0,0,6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124989,0,124989,110301,14688
"Inland Counties Legal Services, Inc.",805230,2008,CA,CA-12,Basic Field,30695,418914,15004,11916,484994,3226,35693,832801,33443,8303,0,102138,54704,46189,949643,167386,234593,13942,399368,127464,6473,28695,763,23434,20695,43880,3123,21651,239566,859,9091,619957,8101,1343,0,19044,47092,14922,39237,388001,0,2134,129463,27907,0,3173,0,15792,4029781,1655031,5684812,3721585,1963227
"Inland Counties Legal Services, Inc.",805230,2009,CA,CA-12,Basic Field,52093,435405,3326,13132,667114,1503,38490,1041819,30835,1240,0,78399,36434,42617,1177191,240393,121614,19869,385646,129637,5561,40310,263,30344,19520,41490,689,22906,229126,376,8051,622130,6689,1336,0,18382,19849,10992,19331,345827,275,5533,124613,30443,0,2848,0,15214,4593235,1545620,6138855,4342931,1795924
"Inland Counties Legal Services, Inc.",805230,2010,CA,CA-12,Basic Field,36165,522654,9459,14084,709052,1884,36914,1134138,32604,167,0,81685,40398,44958,1226042,220063,32469,21898,381694,126018,5579,38105,557,20399,5252,30130,13713,21202,256996,438,8373,658574,7343,3078,0,19553,16502,10703,28198,432214,83,5138,134955,27591,0,1819,0,16623,4736986,1698478,6435464,4665277,1770187
"Inland Counties Legal Services, Inc.",805230,2011,CA,CA-12,Basic Field,30004,554393,18103,22699,583290,1827,38468,1009078,34752,1520,0,146885,56615,40732,1202974,176107,75367,23126,400405,116251,2625,43175,119,26873,23338,1518,2642,24530,290235,442,8344,706664,9469,4674,0,24414,79856,9405,24217,479902,0,5650,148320,26070,0,3842,0,19910,4605388,1893442,6498830,4472467,2026363
"Inland Counties Legal Services, Inc.",805230,2012,CA,CA-12,Basic Field,39077,451121,74706,11343,641972,2572,36515,1100625,34605,7746,0,80291,40560,41255,1024367,171394,20139,23772,369889,114530,2994,21676,42,26391,19570,140,14219,22888,296994,820,10877,551853,9687,4692,0,18292,17630,12603,68922,452721,5316,6854,158088,31147,0,1471,0,17175,4337582,1721959,6059541,4308848,1750693
"Inland Counties Legal Services, Inc.",805230,2013,CA,CA-12,Basic Field,41511,422863,7849,13202,609194,2121,34704,988932,48325,2465,0,95303,34599,40949,953453,183104,1640,25038,406842,114421,0,26851,63,21993,12104,438,766,22441,330594,599,9411,757007,11330,266,0,15656,14028,9920,39194,427914,0,7559,155474,30470,0,5417,0,21101,4075422,1871689,5947111,4289392,1657719
"Inland Counties Legal Services, Inc.",805230,2014,CA,CA-12,Basic Field,44747,490095,16062,274866,637025,3854,35240,1023494,49109,564,0,80763,36291,46335,1053724,189257,-5930,0,417953,131671,1248,31597,157,22700,11003,252,2004,25373,363540,852,7939,831144,12305,3176,0,32305,19169,9407,33228,467505,-54632,0,141717,29734,704,7447,9,21971,4580822,1966152,6546974,4598917,1948057
"Inland Counties Legal Services, Inc.",805230,2015,CA,CA-12,Basic Field,41626,532139,34352,17432,769443,722,33021,1105001,48960,8652,0,128176,26477,43058,994357,249907,5573,0,481048,183670,0,40149,0,29577,12810,47018,30891,23526,305536,214,8803,719607,11944,1925,0,25881,9778,10130,42604,444461,1577,0,104236,45088,0,4003,0,18718,4773340,1868750,6642090,4630916,2011174
"Inland Counties Legal Services, Inc.",805230,2016,CA,CA-12,Basic Field,42121,589682,51346,18939,762494,1608,21417,1192956,42648,4224,0,99748,27482,34510,986126,261106,1722,21640,437041,186072,0,45982,0,21903,11627,63426,10573,23050,382082,866,11591,697467,18555,147,0,34700,9442,17223,59249,510362,879,-21640,148326,65420,0,13053,0,17374,4850767,2073772,6924539,4851842,2072697
"Inland Counties Legal Services, Inc.",805230,2017,CA,CA-12,Basic Field,55740,595608,16264,20860,750061,2423,21210,1275196,57146,14743,0,157718,28517,37113,1171412,273238,9492,0,399118,182520,0,176425,0,27307,15179,497,137084,27884,405038,894,13122,699247,26287,200785,0,49794,17315,13275,74985,587544,1264,0,181091,65980,0,6684,0,16508,5272111,2540457,7812568,5236721,2575847
Iowa Legal Aid,516006,2008,IA,IA-3,Basic Field,8957,64519,41152,9809,507749,21052,8572,1071668,14661,5844,0,51498,5319,9755,431048,59203,33852,0,97468,70347,0,18811,4679,34787,16489,124000,74551,18058,934720,38754,15780,1972844,26989,10758,0,94802,9791,17959,793520,108987,62318,0,179430,129503,0,34630,3387,64039,2570750,4731309,7302059,5879739,1422320
Iowa Legal Aid,516006,2008,IA,MIA,Migrant Worker,54,0,0,48,2103,118,58,6152,88,0,0,1548,0,0,1248,295,0,0,631,391,0,146,0,6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18948,0,18948,9798,9150
Iowa Legal Aid,516006,2009,IA,IA-3,Basic Field,11629,71354,52719,4652,492559,11371,8528,740906,13438,4393,0,46775,1377,18090,764681,88898,3763,0,122752,95359,0,11629,6202,13180,12303,102430,68339,26115,1326417,37360,20326,2883650,38648,22850,0,95241,3131,10621,656652,72239,51136,0,177148,136153,0,36803,1816,94148,2584255,5873526,8457781,7026002,1431779
Iowa Legal Aid,516006,2009,IA,MIA,Migrant Worker,168,0,0,168,1779,834,128,5046,249,0,0,874,0,0,7914,139,0,0,1788,1163,0,2505,0,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25857,0,25857,14878,10979
Iowa Legal Aid,516006,2010,IA,IA-3,Basic Field,8963,77044,37386,15780,612005,9628,9717,1199833,18404,5998,0,40849,1137,9739,438968,54088,4571,0,106113,67594,25,8473,2709,25700,18440,174688,76921,23390,1259173,19810,19992,2468603,37864,12340,0,84045,2339,20037,896111,111285,9406,0,218323,139071,0,17433,5574,52877,2754724,5667722,8422446,7040066,1382380
Iowa Legal Aid,516006,2010,IA,MIA,Migrant Worker,97,0,0,150,2022,548,118,6668,209,51,0,575,0,0,0,5192,0,0,1326,934,0,2953,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22463,0,22463,13882,8581
Iowa Legal Aid,516006,2011,IA,IA-3,Basic Field,9349,73963,34160,15393,642517,9578,9622,1153541,17046,4388,0,36691,1079,7714,385553,56601,6075,0,102358,66000,72,6024,3140,21964,18601,80521,67970,13550,1278469,19059,19147,2295296,33918,8730,0,73006,2146,15348,767167,112624,12089,0,203669,131470,0,11987,6247,43705,2662828,5214719,7877547,6691768,1185779
Iowa Legal Aid,516006,2011,IA,MIA,Migrant Worker,200,0,0,0,4941,649,208,8938,366,0,0,782,208,0,11892,0,0,0,2347,1406,0,571,0,3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36354,0,36354,25771,10583
Iowa Legal Aid,516006,2012,IA,IA-3,Basic Field,9105,62888,25725,13119,476650,11007,7393,991205,17705,4783,0,34406,1367,6526,337398,51188,6621,0,96280,60254,0,5030,3418,20548,19471,78038,55015,14947,1019375,23539,15811,2119818,37863,10229,0,73583,2922,13956,721568,109473,14160,0,205907,128862,0,10756,7311,43946,2242616,4726550,6969166,5826675,1142491
Iowa Legal Aid,516006,2012,IA,MIA,Migrant Worker,224,0,234,176,5351,1094,234,11893,411,38,0,3096,0,0,8136,0,0,0,2635,1579,0,662,0,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39537,0,39537,25380,14157
Iowa Legal Aid,516006,2013,IA,IA-3,Basic Field,9406,62888,38006,11965,518498,11335,7258,994797,18283,3960,0,31843,1615,7893,393782,49730,50000,0,100423,58649,0,8264,3230,22606,19169,85901,77456,15303,1056697,23102,14791,2103983,37260,8070,0,64895,3292,16086,802528,101350,76657,0,204661,119526,0,16843,6582,46070,2404431,4900222,7304653,6021365,1283288
Iowa Legal Aid,516006,2013,IA,MIA,Migrant Worker,225,0,620,0,3966,620,178,9559,434,0,0,2067,39,0,6258,0,0,0,2512,1473,0,0,0,4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32069,0,32069,19783,12286
Iowa Legal Aid,516006,2014,IA,IA-3,Basic Field,8786,69770,37338,11965,554281,34621,7313,1016842,18189,3733,0,30431,1868,9164,407797,52253,30000,0,92175,56142,0,8911,2694,19701,20422,98482,86793,19130,1288438,81778,16999,2363671,42280,8676,0,70737,4343,21303,947932,121462,140202,0,214264,130502,615,20713,6261,45797,2473974,5750800,8224774,6752676,1472098
Iowa Legal Aid,516006,2014,IA,MIA,Migrant Worker,242,0,252,0,4841,584,183,11150,467,0,0,3027,42,0,7162,446,0,0,2793,1509,0,886,0,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38214,0,38214,23599,14615
Iowa Legal Aid,516006,2015,IA,IA-3,Basic Field,8879,0,52808,10670,689277,12529,8141,1129916,18174,5031,0,30036,1918,6788,435674,45574,7420,0,103602,58720,0,11337,3054,20101,20847,0,123985,25052,1618313,29415,19114,2652862,42671,11812,0,70520,4504,15936,1022894,106999,17420,0,243242,137865,0,26618,7171,47195,2659649,6244435,8904084,7701509,1202575
Iowa Legal Aid,516006,2015,IA,MIA,Migrant Worker,124,0,435,0,7872,496,106,18176,257,0,0,3570,28,0,9596,459,0,0,1437,795,0,0,0,6664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50015,0,50015,36103,13912
